live_url,destination,status,note
/,/,ok,
/about-us/,/about/,ok,
/about-us/faq/,/admissions/,ok,
/about-us/our-vision-mission-and-values/,/about/,ok,
/about-us/staff/cindy-sneller/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/staff/dr-paul-r-valbuena/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/staff/jose-leon/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/staff/julie-gable/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/staff/katie-noetzel/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/staff/lynn-santella/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/staff/roxanne-maloney/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/staff/sara-cothern-lcsw/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/staff/tj-carlini/,,NEEDS DECISION,"staff bio — new site has 4 team members, these are 9 different people"
/about-us/travel-help/,/locations/chandler/,ok,
/about-us/why-buena-vista/,/about/,ok,
/addiction-treatment/,/programs/,ok,
/addiction-treatment/for-a-loved-one/,/for-families/,ok,
/addiction-treatment/for-me/,/programs/,ok,
/addiction-treatment/get-started/,/admissions/,ok,
/blog/,/resources/,ok,
/blog/5-common-causes-of-addiction-and-how-to-cope-with-them/,,NEEDS DECISION,blog post — not yet migrated
/blog/5-ways-to-support-a-loved-one-in-rehab/,,NEEDS DECISION,blog post — not yet migrated
/blog/9-causes-of-alcohol-addiction-that-make-young-men-need-alcohol-rehab/,,NEEDS DECISION,blog post — not yet migrated
/blog/a-story-of-redemption-with-garrett-deetz/,,NEEDS DECISION,blog post — not yet migrated
/blog/addiction-recovery-care/,,NEEDS DECISION,blog post — not yet migrated
/blog/addictions-and-recovery-relapse-prevention/,,NEEDS DECISION,blog post — not yet migrated
