source,destination,permanent
/about-us/,/about/,true
/about-us/faq/,/admissions/,true
/about-us/our-vision-mission-and-values/,/about/,true
/about-us/staff/,/about/,true
/about-us/staff/cindy-sneller/,/about/,true
/about-us/staff/dr-paul-r-valbuena/,/about/,true
/about-us/staff/jill-byron/,/,true
/about-us/staff/jose-leon/,/about/,true
/about-us/staff/julie-gable/,/about/,true
/about-us/staff/katie-noetzel/,/about/,true
/about-us/staff/luca-miller-bvr-alumni/,/,true
/about-us/staff/lynn-santella/,/about/,true
/about-us/staff/mike-kalesk/,/,true
/about-us/staff/roxanne-maloney/,/about/,true
/about-us/staff/sara-cothern-lcsw/,/about/,true
/about-us/staff/tj-carlini/,/about/,true
/about-us/travel-help/,/locations/chandler/,true
/about-us/why-buena-vista/,/about/,true
/addiction-treatment/,/programs/,true
/addiction-treatment/for-a-loved-one/,/for-families/,true
/addiction-treatment/for-me/,/programs/,true
/addiction-treatment/get-started/,/admissions/,true
/blog/2023/08/,/blog/,true
/blog/2024/09/,/blog/,true
/blog/2024/10/,/blog/,true
/blog/5-common-causes-of-addiction-and-how-to-cope-with-them/,/blog/,true
/blog/5-ways-to-support-a-loved-one-in-rehab/,/for-families/,true
/blog/9-causes-of-alcohol-addiction-that-make-young-men-need-alcohol-rehab/,/what-we-treat/alcohol-addiction/,true
/blog/a-story-of-redemption-with-garrett-deetz/,/blog/,true
/blog/addiction-recovery-care/,/insurance/,true
/blog/addictions-and-recovery-relapse-prevention/,/insurance/,true
/blog/addressing-the-social-needs-of-men-in-recovery/,/insurance/,true
/blog/aerobic-exercise-and-addiction-recovery/,/insurance/,true
/blog/alcohol-addiction-personality-traits/,/what-we-treat/alcohol-addiction/,true
/blog/alcohol-addiction/,/what-we-treat/alcohol-addiction/,true
/blog/alcohol-detox-alcoholism/,/what-we-treat/alcohol-addiction/,true
/blog/alcohol-detox-arizona/,/what-we-treat/alcohol-addiction/,true
/blog/alcohol-detox-program/,/what-we-treat/alcohol-addiction/,true
